Entity,Code,Year,Unsafe water source (deaths),Poor sanitation (deaths),No access to handwashing facility (deaths),Household air pollution (deaths),Outdoor air pollution (deaths),Non-exclusive breastfeeding (deaths),Discontinued breastfeeding (deaths),Child wasting (deaths),Child stunting (deaths),Low birth weight (deaths),Secondhand smoke (deaths),Alcohol use (deaths),Drug use (deaths),Diet low in fruits (deaths),Diet low in vegetables (deaths),Unsafe sex (deaths),Low physical activity (deaths),High blood sugar (deaths),High cholesterol (deaths),High body-mass index (obesity) (deaths),High blood pressure (deaths),Smoking (deaths),Iron deficiency (deaths),Zinc deficiency (deaths),Vitamin-A deficiency (deaths),Low bone mineral density (deaths)
Afghanistan,AFG,1990,3089.086267,2700.125448,3304.27602,20372.11698,12954.42381,2149.558978,80.49085164,19782.28886,11212.99995,7841.705524,2431.424927,84.53307591,283.8556124,5938.251677,5249.971705,347.4037596,2563.882557,14071.80614,9505.531962,10219.12434,16788.60447,6797.08374,255.091524,368.8117958,6438.686157,255.4452994
Afghanistan,AFG,1995,5973.568906,5215.484499,4994.06556,27947.99654,17392.7435,3023.132138,142.7768967,24080.159,12322.40402,9722.505754,3890.176365,124.3623493,472.7645361,9405.857405,8317.373544,510.9426207,3900.895896,21402.03847,14674.80439,14401.84245,25904.10043,10589.37693,358.238729,775.5760008,6873.531404,397.462568
Afghanistan,AFG,2000,6860.705973,5976.701177,5513.474429,31580.56554,19832.58807,2995.92064,139.8842975,24426.43275,12924.65007,11032.3139,4748.463921,107.0880228,618.4545687,11792.93272,10084.58337,602.1186917,4693.208898,26526.45365,17654.14977,15905.42698,31893.06513,12986.75537,391.090473,1334.811905,7918.396752,466.5196328
Afghanistan,AFG,2005,8046.950478,6985.176238,6726.295534,36956.20917,21961.01998,3160.640021,160.0891127,22113.10796,8354.252868,12363.49847,5694.589373,15.90583738,864.0550084,14244.74324,11845.03728,702.8216052,5619.360914,32584.11018,20922.6567,20540.30577,38190.10241,15869.8188,473.7874252,2286.219958,1957.206326,583.3401805
Afghanistan,AFG,2006,7437.445838,6446.891064,6326.12732,36621.56433,22157.92004,2981.794757,146.3187181,21141.3843,8084.966577,12136.63466,5660.147282,-7.163066948,903.5439244,14583.01949,12117.84016,717.5270403,5772.992069,33656.4683,21478.01487,21690.64478,39159.42779,16336.57094,479.8675442,2106.950425,2121.665449,594.7577347
Afghanistan,AFG,2010,3827.131184,3284.868541,3605.688075,31630.56457,20825.19334,1817.568643,64.6825983,16889.92,9171.966557,10820.74112,5543.469685,-27.7885309,1052.246167,15351.62725,12803.56771,756.5884044,6298.70107,37187.93726,22978.88187,25823.79241,41717.64468,17676.50263,480.4522607,775.7910941,6307.287406,661.5737596
Afghanistan,AFG,2016,3715.731574,3124.132128,3798.25784,34356.46116,26983.12805,1849.40171,72.3580492,12315.58755,3958.305418,10754.73078,6644.75356,84.52251673,1428.480032,17626.48606,14711.41495,880.6001334,7467.501138,46058.06446,26789.1737,30632.55209,48554.59098,20951.91565,435.2129809,985.7435233,678.935842,799.3339272
Albania,ALB,1990,59.69969476,44.02585804,70.94231793,2158.697351,1156.260822,226.3731025,4.316032533,1233.722006,293.8103785,285.2196176,702.6873854,415.7628581,51.81624493,1056.156954,530.5639037,47.88125274,375.1561916,720.1641252,1564.587112,1220.005268,4190.141828,2291.469721,1.573492536,14.45279573,14.63125928,33.99990404
Albania,ALB,1995,37.09243618,28.14968058,52.09543611,1994.375022,1039.693901,151.6548248,2.28707718,852.5901907,162.718619,248.2307393,634.9435923,570.7975062,69.76020069,1114.265771,434.6017965,49.96181923,398.2343659,785.5645521,1662.695808,1347.505988,4439.607739,2476.709574,0.852063864,13.68204453,0.330134799,35.10696132
Albania,ALB,2000,13.05031993,9.194357912,20.99022601,1793.841517,1062.26309,55.66381362,0.725039297,322.0191981,86.7375503,165.0829863,517.4989759,901.5566736,99.47196585,1217.376848,405.5172498,56.20154303,491.464617,978.0454767,2042.071103,1703.131692,5332.901008,2924.833665,0.676878714,4.646695179,0.07766168,36.6102625
Albania,ALB,2005,5.928423942,3.545992536,10.61968496,1680.003187,1135.107206,20.73967859,0.244467289,111.8982324,27.72639745,104.380985,541.0979503,1329.295173,119.050673,1260.260098,481.7967602,65.84391471,648.5432444,1256.241397,2645.148823,2164.088249,6715.159982,3310.467873,0.664509727,1.726196106,0.009807206,40.13461544
Albania,ALB,2006,5.303912052,3.145019789,9.581898989,1564.773659,1177.747809,17.71111661,0.197707179,94.12613493,22.83151895,99.9033884,534.6945607,1381.205849,120.1546004,1239.116372,475.433751,67.51495772,666.908092,1274.947133,2706.666511,2209.876971,6846.307462,3317.379831,0.63965987,1.393185157,0.007866297,40.39978023
Albania,ALB,2010,4.300293743,2.486724554,7.500942496,1190.058542,1356.673705,11.28456114,0.128555848,58.21800591,12.87373396,79.78999924,515.1488693,1505.834948,133.31544,1066.35677,312.2841452,67.9315403,732.0062993,1357.415389,2884.660531,2415.71804,7276.621921,3385.033893,0.480972283,0.709854938,0.002780062,44.06072994
Albania,ALB,2016,3.780746207,1.950572439,6.735915125,1002.715581,1376.776276,9.782995785,0.099302578,47.90338307,9.093845909,71.13244155,540.2423509,1550.755899,159.8273287,982.835861,249.1219742,65.98733914,786.7653757,1479.320453,3030.497571,2677.823207,7605.886827,3637.962374,0.413147821,0.632734294,0.002983459,48.87216358
Algeria,DZA,1990,906.1061256,594.8103982,441.337936,2502.325751,7791.937414,811.974337,44.25587618,4617.236518,1130.942168,9951.160406,3574.844574,493.0059903,311.3923707,5803.119398,4466.004649,454.8350848,3387.710207,12016.8794,10461.51408,8470.929914,20495.88512,8612.263468,109.455577,148.6438905,707.0511494,455.474068
Algeria,DZA,1995,668.9486104,393.0161064,363.7754265,1629.513535,8101.450824,559.0967856,32.05982487,3478.543872,935.3364902,9975.251113,3307.176112,422.2499033,399.0032518,6416.771203,4765.206613,488.8710228,3853.222097,13653.61355,11440.80434,10081.21101,23038.1534,9102.994681,93.34193392,98.91156239,350.6772704,526.028029
Algeria,DZA,2000,667.1898209,356.0714296,423.4662991,1017.613541,8774.972311,482.454896,33.98167538,2555.221547,543.4931414,10143.78147,3382.449047,566.6120912,529.7038088,6936.544707,5053.938781,475.1394742,4465.686771,15776.31207,12647.90308,12352.84446,26185.51817,9238.340101,84.53719705,74.84373245,81.02474983,643.257531
Algeria,DZA,2005,525.7891579,236.9137582,382.7157804,456.0125758,8798.152337,354.7988608,25.73017147,1699.265518,241.6812517,9132.600089,3450.970657,869.2715971,684.571521,6805.955999,4638.211814,597.2743014,5008.039985,18873.35159,13289.24661,16060.79826,28266.75669,9431.256368,80.83693284,44.48988059,18.83191449,760.9820772
